word,category,description,correct_option,options
outgoing,hard,comfortable when talking to other people,2,"['to suddenly move or push hard', 'to attach or tie gently to something (not using glue)', 'comfortable when talking to other people', 'small, warm and comfortable']"
induce,hard,to cause to happen,1,"['easy to see', 'to cause to happen', 'to attract or persuade with promises of benefits', 'able to see the most important information to make a decision']"
transitory,hard,lasting a very short time,3,"['to completely destroy', 'inactive now but able to become active later', 'comfortable when talking to other people', 'lasting a very short time']"
mundane,hard,ordinary and boring,1,"['forming the basis for something', 'ordinary and boring', 'with careful attention to details', 'a small piece that is left when most is gone']"
plead,hard,"to ask for emotionally, to beg",0,"['to ask for emotionally, to beg', 'to get after special effort to find', 'a thing that exists or acts as one', 'awkward and without skill']"
covert,hard,secret or hidden,2,"['not normal', 'a promised reward to motivate', 'secret or hidden', 'likely to do or happen (usually liable to in a negative way)']"
perplex,hard,to confuse somebody,1,"['to make not true or not effective', 'to confuse somebody', 'to move very near an acceptable limit', 'to change, to adjust']"
secrete,hard,to produce a liquid (from or withing a living thing),1,"['to turn away from a plan or standard', 'to produce a liquid (from or withing a living thing)', 'to not include, to keep out of a list or group', 'to start (a rule or system), a group or organization that studies or works for something specific']"
strive,hard,to try hard to achieve something,1,"['to go back to previous position', 'to try hard to achieve something', 'central, of fundamental importance, the center of something', ""to say officially that a normal requirement isn't required""]"
tedious,hard,long and boring,2,"['with very little colour', 'of the countryside, simple and old-fashioned', 'long and boring', 'a comparison of two very different things that have one similar aspect']"
grave,hard,very serious,2,"['to be made of', 'a period of time in a longer process of change', 'very serious', 'slanted, higher at one end and lower at the other']"
encroach,hard,to move very near an acceptable limit,0,"['to move very near an acceptable limit', 'to publicly agree with and support', 'required by rule', 'to become a part of']"
probe,hard,to explore and learn about using hands or a tool,0,"['to explore and learn about using hands or a tool', 'hidden from view, away from people', 'to change, to adjust', 'with strong images or colors']"
irrevocable,hard,impossible to reversed,3,"['to weaken', 'not able to produce plants (of lands)', 'clearly seen or understood, seeming (but not definitely true)', 'impossible to reversed']"
pivotal,hard,extremely important in order to succeed,3,"['to not include, to keep out of a list or group', 'to be made of', 'easy to see', 'extremely important in order to succeed']"
barren,hard,not able to produce plants (of lands),0,"['not able to produce plants (of lands)', 'to start (a rule or system), a group or organization that studies or works for something specific', 'very serious', 'a large number of something']"
apprehension,hard,feat that something bad will happen,0,"['feat that something bad will happen', 'sleepy', 'a rule made by an organization, government, or company', 'able to change, changing frequently']"
ingenuity,hard,the quality of being clever and original,0,"['the quality of being clever and original', 'not able to produce plants (of lands)', 'forming the basis for something', 'most frequent or common']"
consensus,hard,an agreement reached by a whole group of people,2,"['central, of fundamental importance, the center of something', 'to make easier', 'an agreement reached by a whole group of people', 'a period of time in a longer process of change']"
remnant,hard,a small piece that is left when most is gone,1,"['very serious', 'a small piece that is left when most is gone', 'ordinary and boring', 'a fact that influences or changes a result']"
waive,hard,to say officially that a normal requirement isn't required,3,"['from a reasonable or correct basis', 'a plan, the system by which something is arranged', 'to attract or persuade with promises of benefits', ""to say officially that a normal requirement isn't required""]"
obsolete,hard,not used anymore,3,"['inactive now but able to become active later', 'extreme tiredness from too much work', 'to publicly agree with and support', 'not used anymore']"
novel,hard,interestingly new or different,1,"['to keep, to continue to have or contain', 'interestingly new or different', 'to explore and learn about using hands or a tool', 'a promised reward to motivate']"
outlook,hard,how a person thinks about the world,2,"['to combine two different things into one', 'to cause to continue', 'how a person thinks about the world', 'to explore and learn about using hands or a tool']"
synthesize,hard,to combine two different things into one,0,"['to combine two different things into one', 'slanted, higher at one end and lower at the other', 'to grow strong and healthy', 'to attract or persuade with promises of benefits']"
potent,hard,with a very strong effect,1,"['to move into a position in line with some specific point, to explore and become comfortable with', 'with a very strong effect', 'to not be caught, to avoid', 'complete and very detailed']"
superfluous,hard,more than is needed/desired/required,1,"['ordinary and boring', 'more than is needed/desired/required', 'unchanging and stubborn', 'not able to produce plants (of lands)']"
scores,hard,a large number of something,2,"['a small sickness or cause of physical discomfort', 'to be aware of , to sense or feel', 'a large number of something', 'uneven and sharp']"
harness,hard,to take control of power or energy in order to use it,3,"['fake or untrue (generally of illegal claims)', 'an event resulting in a lot of loss or pain', 'to produce a liquid (from or withing a living thing)', 'to take control of power or energy in order to use it']"
eradicate,hard,to completely destroy,2,"['to win completely in a competition or fight', 'a person who has a role after a previous person', 'to completely destroy', 'long and boring']"
apathetic,hard,with no emotion or interest,1,"['to separate widely,create more of', 'with no emotion or interest', 'to suddenly move or push hard', 'the appearance of objects from a particular direction, a point of view, an opinion']"
fracture,hard,to break (of something very hard),2,"['a rule made by an organization, government, or company', 'a period of time in a longer process of change', 'to break (of something very hard)', 'a color']"
endorse,hard,to publicly agree with and support,0,"['to publicly agree with and support', 'to contain or include', 'likely to do or happen (usually liable to in a negative way)', 'central, of fundamental importance, the center of something']"
serene,hard,perfectly calm,3,"['secret or hidden', 'to make easier', 'fake or untrue (generally of illegal claims)', 'perfectly calm']"
futile,hard,without the possibility of success,0,"['without the possibility of success', 'a promised reward to motivate', 'belonging the most basic nature of something, impossible to remove', 'to come to a conclusion through logic and evidence, to figure out']"
feasible,hard,possible to do without problem,2,"['a highly valued object from a very long long time ago', 'to delay or pause in order to get more time', 'possible to do without problem', 'belonging the most basic nature of something, impossible to remove']"
amend,hard,to make small change to improve,0,"['to make small change to improve', 'a very small amount', 'hidden from view, away from people', 'of the countryside, simple and old-fashioned']"
devise,hard,to think of or plan an idea or system,0,"['to think of or plan an idea or system', 'to grow strong and healthy', 'to change, to adjust', 'to be made of']"
paradox,hard,a situation that seems impossible because it is made of opposite things,1,"['the health, happiness, and fortunes of a person or group.', 'a situation that seems impossible because it is made of opposite things', 'to add to the end', 'to be aware of , to sense or feel']"
colossal,hard,extremely large,1,"['to agree to give, to admit, to say something is true', 'extremely large', 'perfectly calm', 'unchanging and stubborn']"
derivative,hard,imitating or based on,2,"['an effect that changes a situation, to effect strongly, the force of being hit hard', 'quick and energetic', 'imitating or based on', 'to start (a rule or system), a group or organization that studies or works for something specific']"
implausible,hard,describing a statement that is not believable,0,"['describing a statement that is not believable', 'to agree to give, to admit, to say something is true', 'having many different types', 'to make easier']"
deviate,hard,to turn away from a plan or standard,3,"['a promised reward to motivate', 'to come to a conclusion through logic and evidence, to figure out', 'not able to produce plants (of lands)', 'to turn away from a plan or standard']"
affluent,hard,wealthy,2,"['a rule made by an organization, government, or company', 'an incorrect idea that somebody believes strongly', 'wealthy', 'to confuse somebody']"
striking,hard,very noticeable and unusual,1,"['the appearance of objects from a particular direction, a point of view, an opinion', 'very noticeable and unusual', 'to not include, to keep out of a list or group', 'quick and energetic']"
viable,hard,possible to be done successfully,3,"['required by rule', 'existing from birth, not learned', 'to do or perform (something very negative), to give all of your energy to something', 'possible to be done successfully']"
clumsy,hard,awkward and without skill,1,"['sleepy', 'awkward and without skill', 'to ask for emotionally, to beg', 'longer in one direction']"
rugged,hard,rough and uneven or rocky,1,"['to make not true or not effective', 'rough and uneven or rocky', 'to look for, to search', 'able to change, changing frequently']"
meager,hard,not enough in amount,1,"['similar in some respects but otherwise different', 'not enough in amount', 'requiring a lot of physical effort', 'to make easier']"
brisk,hard,quick and energetic,1,"['common throughout a wide area at a certain time', 'quick and energetic', 'a large number of something', 'to cut from a hard material']"
profound,hard,extremely strongly felt,2,"['an incorrect idea that somebody believes strongly', 'outside (especially of a body or system)', 'extremely strongly felt', 'moving quickly and lightly']"
invoke,hard,to mention a topic in order to make people feel a certain way,3,"['most frequent or common', 'to create, to produce (especially energy)', 'difficult and requiring a lot of effort', 'to mention a topic in order to make people feel a certain way']"
dormant,hard,inactive now but able to become active later,0,"['inactive now but able to become active later', 'with careful attention to details', 'to combine two different things into one', 'to cause to happen']"
turbulent,hard,a little bit chaotic or violent and disorganized,2,"['possible true , realistic', 'giving a feeling that something bad will happen', 'a little bit chaotic or violent and disorganized', 'awkward and without skill']"
intersperse,hard,to place among or between other things,3,"['to correct a problem with another positive thing', 'of the countryside, simple and old-fashioned', 'fake or untrue (generally of illegal claims)', 'to place among or between other things']"
tenacious,hard,unchanging and stubborn,0,"['unchanging and stubborn', 'in or relating to the countryside, away from cities', 'to choose not to do', 'to change, to adjust']"
analogy,hard,a comparison of two very different things that have one similar aspect,0,"['a comparison of two very different things that have one similar aspect', 'to change, to adjust', 'possible true , realistic', 'to be made of']"
ragged,hard,"with uneven edges, torn",2,"['a plan, the system by which something is arranged', 'to grow in number quickly', 'with uneven edges, torn', 'moving quickly and lightly']"
elicit,hard,to cause feeling or responses to come out,3,"['to make small change to improve', 'awkward and without skill', 'to cause to happen', 'to cause feeling or responses to come out']"
prevail,hard,"to continue to exist, staying important or common",3,"['a very small amount', 'having many different types', 'having a strong, good smell', 'to continue to exist, staying important or common']"
cozy,hard,"small, warm and comfortable",2,"['to agree to give, to admit, to say something is true', 'to not be caught, to avoid', 'small, warm and comfortable', 'to follow, to chase, to try to achieve (a dream or goal)']"
faint,hard,very light or small,1,"['in or relating to the countryside, away from cities', 'very light or small', 'to keep, to continue to have or contain', 'ordinary and boring']"
upheaval,hard,"a violent, sudden and large change",0,"['a violent, sudden and large change', 'to move very near an acceptable limit', 'to place among or between other things', 'very obvious, without trying to hide']"
thrive,hard,to grow strong and healthy,0,"['to grow strong and healthy', 'with a very strong effect', 'of the countryside, simple and old-fashioned', 'to take control of power or energy in order to use it']"
agile,hard,moving quickly and lightly,3,"['long and boring', 'extremely important in order to succeed', 'a period of time in a longer process of change', 'moving quickly and lightly']"
stall,hard,to delay or pause in order to get more time,3,"['to prove to be false or incorrect', 'only (use to show large amounts of one thing having an effect)', 'the amount or volume something can hold, ability (especially mental)', 'to delay or pause in order to get more time']"
arduous,hard,difficult and requiring a lot of effort,1,"['to not be caught, to avoid', 'difficult and requiring a lot of effort', 'experienced through a second person', 'near or close but not necessarily touching']"
drowsy,hard,sleepy,0,"['sleepy', 'hidden from view, away from people', 'to take control of power or energy in order to use it', 'the time of evening before complete darkness']"
plausible,hard,"possible true , realistic",0,"['possible true , realistic', 'possible to do without problem', 'experienced through a second person', 'something that is not normal, standard or expected']"
diffuse,hard,to spread out widely,2,"['the health, happiness, and fortunes of a person or group.', 'the time of evening before complete darkness', 'to spread out widely', 'sad and boring or colorless']"
perpetuate,hard,to cause to continue,2,"['to produce a liquid (from or withing a living thing)', 'belonging the most basic nature of something, impossible to remove', 'to cause to continue', 'to be aware of , to sense or feel']"
medium,hard,"the material or method used, especially for communication and art",3,"['to separate widely,create more of', 'to go back to previous position', 'to give a good reason for an action or situation (especially one that seem bad)', 'the material or method used, especially for communication and art']"
hue,hard,a color,2,"['not used anymore', 'the amount or volume something can hold, ability (especially mental)', 'a color', 'having a strong, good smell']"
rural,hard,"in or relating to the countryside, away from cities",1,"['a range of subjects or studies, a field, a discipline', 'in or relating to the countryside, away from cities', 'to cut from a hard material', 'to turn away from a plan or standard']"
anomalous,hard,not normal,2,"['an absence of emotion or enthusiasm', 'a violent, sudden and large change', 'not normal', 'inactive now but able to become active later']"
fasten,hard,to attach or tie gently to something (not using glue),0,"['to attach or tie gently to something (not using glue)', 'to change, to adjust', 'the health, happiness, and fortunes of a person or group.', 'near or close but not necessarily touching']"
liable,hard,likely to do or happen (usually liable to in a negative way),2,"['required by rule', 'to explore and learn about using hands or a tool', 'likely to do or happen (usually liable to in a negative way)', 'to turn away from a plan or standard']"
shred,hard,a very small amount,1,"['to do or perform (something very negative), to give all of your energy to something', 'a very small amount', 'to separate widely,create more of', 'a part of a whole']"
ensue,hard,to happen as a result,2,"['the material or method used, especially for communication and art', 'to lead an be sure something is done correctly', 'to happen as a result', 'hidden from view, away from people']"
sheer,hard,only (use to show large amounts of one thing having an effect),0,"['only (use to show large amounts of one thing having an effect)', 'most frequent or common', 'difficult and requiring a lot of effort', 'a color']"
jagged,hard,uneven and sharp,0,"['uneven and sharp', 'to not be caught, to avoid', 'to watch the quality or progress of something over time, something or somebody which monitors', 'similar in some respects but otherwise different']"
refute,hard,to prove to be false or incorrect,3,"['inactive now but able to become active later', 'interestingly new or different', 'not sharp', 'to prove to be false or incorrect']"
elude,hard,to not be caught,3,"['with very little colour', 'slanted, higher at one end and lower at the other', 'in or relating to the countryside, away from cities', 'to not be caught']"
prevalent,hard,common throughout a wide area at a certain time,2,"['to attract or persuade with promises of benefits', 'an area that is higher at one end and lower at the other', 'common throughout a wide area at a certain time', 'from a reasonable or correct basis']"
proliferate,hard,to grow in number quickly,3,"['with a very strong effect', 'quick and energetic', 'extremely strongly felt', 'to grow in number quickly']"
predominant,hard,most frequent or common,3,"['quick and energetic', 'immediately after', 'a large number of something', 'most frequent or common']"
conspicuous,hard,easy to see,1,"['to weaken', 'easy to see', 'to become involved in order to stop or change a bad situation', 'an effect that changes a situation, to effect strongly, the force of being hit hard']"
fragrant,hard,"having a strong, good smell",1,"['secret or hidden', 'having a strong, good smell', 'requiring a lot of physical effort', 'to weaken']"
innate,hard,"existing from birth, not learned",2,"['an absence of emotion or enthusiasm', 'with no emotion or interest', 'existing from birth, not learned', 'with very little colour']"
incline,hard,an area that is higher at one end and lower at the other,1,"['likely to do or happen (usually liable to in a negative way)', 'an area that is higher at one end and lower at the other', 'to meet and discuss before deciding', 'feat that something bad will happen']"
oversee,hard,to lead an be sure something is done correctly,1,"['an event resulting in a lot of loss or pain', 'to lead an be sure something is done correctly', 'respect from people', 'able to change, changing frequently']"
desist,hard,to stop doing,0,"['to stop doing', 'a very small amount', 'with a very strong effect', 'to cut from a hard material']"
apathy,hard,an absence of emotion or enthusiasm,3,"['to suddenly move or push hard', 'to start (a rule or system), a group or organization that studies or works for something specific', 'to be made of', 'an absence of emotion or enthusiasm']"
intervene,hard,to become involved in order to stop or change a bad situation,2,"['with no emotion or interest', 'very noticeable and unusual', 'to become involved in order to stop or change a bad situation', 'sad and boring or colorless']"
calamity,hard,an event resulting in a lot of loss or pain,1,"['central, of fundamental importance, the center of something', 'an event resulting in a lot of loss or pain', 'a color', 'a promised reward to motivate']"
secluded,hard,"hidden from view, away from people",1,"['to watch the quality or progress of something over time, something or somebody which monitors', 'hidden from view, away from people', 'a small piece that is left when most is gone', 'a period of time in a longer process of change']"
comprise,hard,to be made of,1,"['to break (of something very hard)', 'to be made of', 'to explore and learn about using hands or a tool', 'with no emotion or interest']"
evade,hard,"to not be caught, to avoid",3,"['inactive now but able to become active later', 'an absence of emotion or enthusiasm', 'possible true , realistic', 'to not be caught, to avoid']"
oblong,hard,longer in one direction,0,"['longer in one direction', 'to cause feeling or responses to come out', 'extremely strongly felt', 'not used anymore']"
dreary,hard,sad and boring or colorless,3,"['an incorrect idea that somebody believes strongly', 'interestingly new or different', 'a structure for a building, system or idea', 'sad and boring or colorless']"
esteem,hard,respect from people,0,"['respect from people', 'to place among or between other things', 'outside (especially of a body or system)', 'inactive now but able to become active later']"
procure,hard,to get after special effort to find,1,"['a small piece that is left when most is gone', 'to get after special effort to find', 'to grow in number quickly', 'awkward and without skill']"
ominous,hard,giving a feeling that something bad will happen,0,"['giving a feeling that something bad will happen', 'secret or hidden', 'lasting a very short time', 'in or relating to the countryside, away from cities']"
blatant,hard,"very obvious, without trying to hide",3,"['a person who has a role after a previous person', 'to correct a problem with another positive thing', 'a highly valued object from a very long long time ago', 'very obvious, without trying to hide']"
undermine,hard,to weaken,3,"['with strong images or colors', 'having many different types', 'sad and boring or colorless', 'to weaken']"
vicarious,hard,experienced through a second person,3,"['complete and very detailed', 'comfortable when talking to other people', 'without the possibility of success', 'experienced through a second person']"
adjacent,hard,near or close but not necessarily touching,3,"['in or relating to the countryside, away from cities', 'wealthy', 'to move very near an acceptable limit', 'near or close but not necessarily touching']"
yield,hard,to produce or cause after a process,0,"['to produce or cause after a process', 'to cause to continue', 'a situation that seems impossible because it is made of opposite things', 'central, of fundamental importance, the center of something']"
subsume,hard,to contain or include,0,"['to contain or include', 'wealthy', 'able to see the most important information to make a decision', 'to attach or tie gently to something (not using glue)']"
abstain,hard,to choose not to do,3,"['secret or hidden', 'more than is needed/desired/required', 'to not include, to keep out of a list or group', 'to choose not to do']"
intrinsic,hard,"belonging the most basic nature of something, impossible to remove",3,"['with no emotion or interest', 'a very small amount', 'very obvious, without trying to hide', 'belonging the most basic nature of something, impossible to remove']"
flee,hard,to run away from danger,1,"['to not include, to keep out of a list or group', 'to run away from danger', 'a fact that influences or changes a result', 'the material or method used, especially for communication and art']"
tame,hard,not wild,0,"['not wild', 'more than is needed/desired/required', 'respect from people', 'central, of fundamental importance, the center of something']"
confer,hard,to meet and discuss before deciding,0,"['to meet and discuss before deciding', 'a color', 'inactive now but able to become active later', 'to attract or persuade with promises of benefits']"
lavis,very hard,"more than is needed, very fancy",3,"['to use government authority to demand payment', 'to melt slowly after a temperature change', 'combine into one', 'more than is needed, very fancy']"
morph,very hard,"to change shape, to become something new",2,"['to move around in search for food', 'not secret or hidden', 'to change shape, to become something new', 'careful not to do things that hurt or anger other people']"
nuance,very hard,a small difference in meaning or a very small detail,3,"['a false name used publicly', 'to turn away from or prevent', 'to persuade somebody or an animal come somewhere by promising a reward', 'a small difference in meaning or a very small detail']"
irrefutable,very hard,impossible to deny or disprove,0,"['impossible to deny or disprove', 'easy to understand, from clear thinking', 'to remove by digging in the ground', 'attractive and old-fashioned (used especially for places or customs)']"
accrete,very hard,to collect together slowly over time into a lager amount,0,"['to collect together slowly over time into a lager amount', 'a class that students can select from among alternatives', 'dark or cloudy and hard to see through', 'to create (something strong) through a large effort']"
plague,very hard,a serious disease that kills many people,1,"['to come together for a formal discussion or meeting', 'a serious disease that kills many people', 'to press down, to cause to drop', 'a short period of calm or inactivity']"
profuse,very hard,produce or growing in very large numbers,0,"['produce or growing in very large numbers', 'to hide when preparing to attack', 'violent and uncontrolled', 'in spite of']"
despondent,very hard,"extremely sad, without hope",1,"['heavily decorated in small detail', 'extremely sad, without hope', 'a traditional story that teaches a lesson', 'combine into one']"
forge,very hard,to create (something strong) through a large effort,1,"['important immediately', 'to create (something strong) through a large effort', 'skilled in a specific ability', 'to melt slowly after a temperature change']"
drench,very hard,to cover completely with liquid,0,"['to cover completely with liquid', 'to produce eggs (used for fish, frogs etc.)', 'a force pushing forward', 'lasting for a very short time']"
convene,very hard,to come together for a formal discussion or meeting,0,"['to come together for a formal discussion or meeting', 'very noticeable', 'giving careful attention to detail', 'too colorful and overly decorated']"
offset,very hard,cancel by being opposite but equal in amount,1,"['an extremely heavy rain', 'cancel by being opposite but equal in amount', 'not secret or hidden', 'the time when an event will happen very soon']"
rife,very hard,many in number or very common (used for bad things),1,"['not secret or hidden', 'many in number or very common (used for bad things)', 'a false name used publicly', 'to grow stronger or healthier']"
erode,very hard,to be slowly destroyed by wind and rain,2,"['serious danger', 'experienced at doing something', 'to be slowly destroyed by wind and rain', 'the visual objects and signs associated with a position or status']"
hamper,very hard,to slow the progress of or make more difficult,2,"['to completely confuse', 'an untruthful reason given for an action', 'to slow the progress of or make more difficult', 'to move around in search for food']"
indigenous,very hard,originating in a certain area,3,"['to gently persuade or influence to do something', 'an untruthful reason given for an action', 'far away', 'originating in a certain area']"
urbane,very hard,"confident, sophisticated, and polite",2,"['increase or improve after a low point', 'giving careful attention to detail', 'confident, sophisticated, and polite', 'a long time with not enough rain']"
so-called,very hard,called a something that is not appropriate (used before the incorrect term),0,"['called a something that is not appropriate (used before the incorrect term)', 'to lead a change', 'cancel by being opposite but equal in amount', 'well combined into one whole']"
elective,very hard,a class that students can select from among alternatives,1,"['serious danger', 'a class that students can select from among alternatives', 'the time when an event will happen very soon', 'to save something from the destruction of everything around it']"
overt,very hard,not secret or hidden,1,"['to decide not to use or have something good', 'not secret or hidden', 'to use government authority to demand payment', 'produce or growing in very large numbers']"
wane,very hard,to decrease in power or size,1,"['the time when a big change started or arrived', 'to decrease in power or size', 'dry, without rain', 'not harmful']"
trivial,very hard,unimportant and small,2,"['to fail to notice', ""to stop somebody's plan"", 'unimportant and small', 'extremely sad, without hope']"
fastidious,very hard,giving careful attention to detail,3,"['a small difference in meaning or a very small detail', 'more than is needed, very fancy', 'to enlarge or increase, to improve', 'giving careful attention to detail']"
impetus,very hard,a cause or reason to start an action,3,"['combine into one', 'cautious, not trusting', 'requiring and demanding accuracy', 'a cause or reason to start an action']"
exacting,very hard,requiring and demanding accuracy,2,"['to produce eggs (used for fish, frogs etc.)', 'produce or growing in very large numbers', 'requiring and demanding accuracy', 'perfectly appropriate']"
flourish,very hard,to grow stronger or healthier,0,"['to grow stronger or healthier', 'unable to do well, bad at', 'cold-feeling and dark , hopeless', 'not caring about hurting people']"
craze,very hard,something very popular for a short time,0,"['something very popular for a short time', 'something that starts or speeds up an event', 'very complicated, with may parts (used for abstract things)', 'to attack without pausing']"
marked,very hard,very noticeable,0,"['very noticeable', 'to fail to notice', 'impossible to stop', 'far away']"
brittle,very hard,hard but easy to break,0,"['hard but easy to break', 'increase or improve after a low point', 'to attack without pausing', 'attractive and old-fashioned (used especially for places or customs)']"
overshadow,very hard,to make seem small or unimportant by comparison,0,"['to make seem small or unimportant by comparison', 'to pull back', 'extremely difficult and tiring', 'lasting for a very short time']"
swivel,very hard,to spin or turn around,3,"['a container', 'to fail to notice', 'to slow the progress of or make more difficult', 'to spin or turn around']"
augment,very hard,"to enlarge or increase, to improve",3,"['a serious disease that kills many people', 'to want something badly and immediately', 'to send (a person) away permanently in punishment', 'to enlarge or increase, to improve']"
excavate,very hard,to remove by digging in the ground,0,"['to remove by digging in the ground', 'to grow or spread extremely quickly', 'angered at something unjust or wrong', 'difficult to find, catch , or achieve']"
baffle,very hard,to completely confuse,0,"['to completely confuse', 'an extremely heavy rain', 'very noticeable', 'difficult to find, catch , or achieve']"
apt,very hard,perfectly appropriate,3,"['to save something from the destruction of everything around it', 'lasting for a very short time', 'a false name used publicly', 'perfectly appropriate']"
seasoned,very hard,experienced at doing something,1,"['not secret or hidden', 'experienced at doing something', 'to move around in search for food', 'producing many things']"
lull,very hard,a short period of calm or inactivity,3,"['to completely confuse', 'to press down, to cause to drop', 'to invite or attract to come to', 'a short period of calm or inactivity']"
abolish,very hard,to officially end a bad system,0,"['to officially end a bad system', 'to show contrast by placing two things next to each other', 'a force pushing forward', 'to add decoration and detail to make more beautiful']"
pseudonym,very hard,a false name used publicly,3,"['to cover completely with liquid', 'to grow stronger or healthier', 'a traditional story that teaches a lesson', 'a false name used publicly']"
beckon,very hard,to invite or attract to come to,0,"['to invite or attract to come to', 'experienced at doing something', 'depressing, hopeless, very bad', 'far away']"
celebrated,very hard,well known and respected,1,"['a traditional story that teaches a lesson', 'well known and respected', 'to be slowly destroyed by wind and rain', 'logical and understandable, without errors']"
hinder,very hard,to slow the progress of or make more difficult,3,"['dry out and die (used for plants)', 'to produce eggs (used for fish, frogs etc.)', 'to come together for a formal discussion or meeting', 'to slow the progress of or make more difficult']"
strife,very hard,hate and conflict,2,"['not harmful', 'cautious, not trusting', 'hate and conflict', 'careful not to do things that hurt or anger other people']"
forgo,very hard,to decide not to use or have something good,1,"['to turn away from or prevent', 'to decide not to use or have something good', 'objects for sale', 'extremely sad, without hope']"
ruthless,very hard,not caring about hurting people,0,"['not caring about hurting people', ""ready or helpful when needed (used with 'not' to describe problems)"", 'extremely small', 'to give abilities to']"
inept,very hard,"unable to do well, bad at",1,"['producing many things', 'unable to do well, bad at', 'to collect together slowly over time into a lager amount', 'to throw forcefully']"
thwart,very hard,to stop somebody's plan,3,"['often changing suddenly and unpredictably', 'to decide not to use or have something good', 'called a something that is not appropriate (used before the incorrect term)', ""to stop somebody's plan""]"
dwell,very hard,to live somewhere,0,"['to live somewhere', 'not harmful', 'skilled in a specific ability', 'a false name used publicly']"
rebound,very hard,increase or improve after a low point,2,"['well combined into one whole', 'to slow the progress of or make more difficult', 'increase or improve after a low point', 'often changing suddenly and unpredictably']"
infinitesimal,very hard,extremely small,1,"['extremely difficult and tiring', 'extremely small', 'one side or aspect (used for abstract things)', 'a long time with not enough rain']"
deplete,very hard,use all of (used especially for natural resources),3,"['objects for sale', 'of the highest importance', 'well combined into one whole', 'use all of (used especially for natural resources)']"
torrent,very hard,an extremely heavy rain,2,"['a small difference in meaning or a very small detail', 'to persuade somebody or an animal come somewhere by promising a reward', 'an extremely heavy rain', 'to cut off from a whole']"
disingenuous,very hard,dishonest or not giving the whole truth,0,"['dishonest or not giving the whole truth', 'careful not to do things that hurt or anger other people', 'experienced at doing something', 'very complicated, with may parts (used for abstract things)']"
elusive,very hard,"difficult to find, catch , or achieve",0,"['difficult to find, catch , or achieve', 'to make worse', 'to come together for a formal discussion or meeting', 'extremely small']"
seep,very hard,to flow slowly through something with many small holes,0,"['to flow slowly through something with many small holes', 'the time when an event will happen very soon', 'producing many things', 'not secret or hidden']"
sound,very hard,"logical and understandable, without errors",0,"['logical and understandable, without errors', 'to attack without pausing', 'well known and respected', 'to create (something strong) through a large effort']"
forage,very hard,to move around in search for food,3,"['a small difference in meaning or a very small detail', 'logical and understandable, without errors', 'the visual objects and signs associated with a position or status', 'to move around in search for food']"
bleak,very hard,"cold-feeling and dark , hopeless",0,"['cold-feeling and dark , hopeless', 'a class that students can select from among alternatives', 'writing made of normal sentences, not a poem', 'angered at something unjust or wrong']"
prolific,very hard,producing many things,1,"['to pull back', 'producing many things', 'not caring about hurting people', 'use all of (used especially for natural resources)']"
fable,very hard,a traditional story that teaches a lesson,0,"['a traditional story that teaches a lesson', 'to collect together slowly over time into a lager amount', 'perfectly appropriate', 'angered at something unjust or wrong']"
advent,very hard,the time when a big change started or arrived,1,"['unimportant and small', 'the time when a big change started or arrived', 'to become much less or many fewer', 'a natural ability for a specific skill']"
quaint,very hard,attractive and old-fashioned (used especially for places or customs),1,"['angered at something unjust or wrong', 'attractive and old-fashioned (used especially for places or customs)', 'to completely destroy (used for buildings)', 'to make worse']"
dwelling,very hard,housing that someone is living in,1,"['to slow the progress of or make more difficult', 'housing that someone is living in', 'the highest point', 'to come together for a formal discussion or meeting']"
pressing,very hard,important immediately,0,"['important immediately', 'to become much less or many fewer', 'to cover completely with liquid', 'to make seem small or unimportant by comparison']"
wary,very hard,"cautious, not trusting",3,"['experienced at doing something', 'too colorful and overly decorated', 'to cut off from a whole', 'cautious, not trusting']"
cope,very hard,to manage a difficult situation (especially emotionally),0,"['to manage a difficult situation (especially emotionally)', 'a small difference in meaning or a very small detail', 'to clarify by making less general', 'far away']"
gaudy,very hard,too colorful and overly decorated,2,"['to live somewhere', 'to pull back', 'too colorful and overly decorated', 'attractive and old-fashioned (used especially for places or customs)']"
adorn,very hard,to add decoration and detail to make more beautiful,3,"['to grow or spread extremely quickly', 'to cover completely with liquid', 'more than is needed, very fancy', 'to add decoration and detail to make more beautiful']"
verge,very hard,the time when an event will happen very soon,2,"['to grow or spread extremely quickly', 'in spite of', 'the time when an event will happen very soon', 'giving careful attention to detail']"
juxtapose,very hard,to show contrast by placing two things next to each other,0,"['to show contrast by placing two things next to each other', 'an untruthful reason given for an action', 'to press down, to cause to drop', 'to make seem small or unimportant by comparison']"
minute,very hard,extremely small,3,"['unclear', 'to remove by digging in the ground', 'angered at something unjust or wrong', 'extremely small']"
indignant,very hard,angered at something unjust or wrong,2,"['use all of (used especially for natural resources)', 'a state of danger', 'angered at something unjust or wrong', 'to show contrast by placing two things next to each other']"
feeble,very hard,very weak,1,"['housing that someone is living in', 'very weak', 'a class that students can select from among alternatives', 'to remove by digging in the ground']"
telling,very hard,showing the truth (used for a story or piece of information),0,"['showing the truth (used for a story or piece of information)', 'cautious, not trusting', 'to become much less or many fewer', 'skilled in a specific ability']"
remote,very hard,far away,0,"['far away', 'produce or growing in very large numbers', 'a false name used publicly', 'to cut off from a whole']"
