question	category	explanation	synonym	correct_option	options
Choose the synonym of the following words:  isolated, sheltered	hard	hidden from view, away from people	secluded	0	['secluded', 'fracture', 'apathy', 'serene']
Choose the synonym of the following words:  make up, consist of	hard	to be made of	comprise	1	['adjacent', 'comprise', 'evade', 'underlying']
Choose the synonym of the following word: avoid, bypass, circumvent	hard	to not be caught, to avoid	evade	0	['evade', 'viable', 'criteria', 'negate']
Choose the synonym of the following word: oval, ovoid, egg-shaped	hard	longer in one direction	oblong	0	['oblong', 'elicit', 'propagate', 'intervene']
Choose the synonym of the following words:  gloomy, lifeless	hard	sad and boring or colorless	dreary	0	['dreary', 'underlying', 'entity', 'scheme']
Choose the synonym of the following word: respect, admire, honor	hard	respect from people	esteem	0	['esteem', 'ingenuity', 'exhaustive', 'turbulent']
Choose the synonym of the following words:  acquire, obtain	hard	to get after special effort to find	procure	3	['twilight', 'tame', 'outgoing', 'procure']
Choose the synonym of the following words:  menacing, foreboding	hard	giving a feeling that something bad will happen	ominous	2	['external', 'facilitate', 'ominous', 'endorse']
Choose the synonym of the following words:  obvious, brazen	hard	very obvious, without trying to hide	blatant	1	['scores', 'blatant', 'diffuse', 'encroach']
Choose the synonym of the following words:  weaken	hard	to weaken	undermine	1	['relic', 'undermine', 'colossal', 'constitute']
Choose the synonym of the following words:  done or felt for, or on behalf of, another	hard	experienced through a second person	vicarious	1	['waive', 'vicarious', 'devise', 'anomaly']
Choose the synonym of the following words:  next to, abutting	hard	near or close but not necessarily touching	adjacent	1	['area', 'adjacent', 'incline', 'shred']
Choose the synonym of the following word: crop, earnings, harvest	hard	to produce or cause after a process	yield	2	['instrumental', 'emerge', 'yield', 'irrevocable']
Choose the synonym of the following words:  include	hard	to contain or include	subsume	1	['scheme', 'subsume', 'welfare', 'rural']
Choose the synonym of the following word: cease, forgo, refrain	hard	to choose not to do	abstain	3	['upheaval', 'waive', 'alter', 'abstain']
Choose the synonym of the following words:  basic, inborn	hard	belonging the most basic nature of something, impossible to remove	intrinsic	1	['generate', 'intrinsic', 'serene', 'vivid']
Choose the synonym of the following word: depart, desert, fly	hard	to run away from danger	flee	3	['agile', 'valid', 'colossal', 'flee']
Choose the synonym of the following words:  domesticated, compliant	hard	not wild	tame	2	['area', 'deviate', 'tame', 'grant']
Choose the synonym of the following words:  discuss, deliberate	hard	to meet and discuss before deciding	confer	1	['stall', 'confer', 'monitor', 'analogy']
Choose the synonym of the following words:  change	very hard	to change shape, to become something new	morph	0	['morph', 'infinitesimal', 'baffle', 'augment']
Choose the synonym of the following words:  slight difference, shading	very hard	a small difference in meaning or a very small detail	nuance	2	['despondent', 'juxtapose', 'nuance', 'peril']
Choose the synonym of the following word: indisputable, undeniable, certain, flawless	very hard	impossible to deny or disprove	irrefutable	3	['fable', 'dwell', 'dubious', 'irrefutable']
Choose the synonym of the following word: contagion, curse, epidemic	very hard	a serious disease that kills many people	plague	1	['baffle', 'plague', 'mushroom', 'adorn']
Choose the synonym of the following words:  abundant, excessive	very hard	produce or growing in very large numbers	profuse	1	['wares', 'profuse', 'accrete', 'drench']
Choose the synonym of the following words:  depressed	very hard	extremely sad, without hope	despondent	0	['despondent', 'wither', 'profuse', 'audacious']
Choose the synonym of the following words:  counterfeit	very hard	to create (something strong) through a large effort	forge	3	['notwithstanding', 'pseudonym', 'offset', 'forge']
Choose the synonym of the following word: deluge, douse, drown	very hard	to cover completely with liquid	drench	2	['irrefutable', 'arid', 'drench', 'accrete']
Choose the synonym of the following words:  bring together, meet	very hard	to come together for a formal discussion or meeting	convene	0	['convene', 'abolish', 'uphold', 'rife']
Choose the synonym of the following words:  counterbalance, compensate	very hard	cancel by being opposite but equal in amount	offset	1	['arid', 'offset', 'apt', 'lurk']
Choose the synonym of the following words:  overflowing	very hard	many in number or very common (used for bad things)	rife	2	['celebrated', 'involved', 'rife', 'seasoned']
Choose the synonym of the following words:  deteriorate, wear away	very hard	to be slowly destroyed by wind and rain	erode	0	['erode', 'avert', 'notwithstanding', 'ruthless']
Choose the synonym of the following word: stymie, hinder, obstruct	very hard	to slow the progress of or make more difficult	hamper	2	['lavis', 'tactful', 'hamper', 'lucid']
Choose the synonym of the following words:  native, inborn	very hard	originating in a certain area	indigenous	0	['indigenous', 'plague', 'sever', 'excavate']
Choose the synonym of the following words:  civilized	very hard	confident, sophisticated, and polite	urbane	2	['cull', 'indigenous', 'urbane', 'grueling']
Choose the synonym of the following words:  supposed	very hard	called a something that is not appropriate (used before the incorrect term)	so-called	2	['gaudy', 'elective', 'so-called', 'infinitesimal']
Choose the synonym of the following word: electoral, constituent, voluntary	very hard	a class that students can select from among alternatives	elective	3	['pretext', 'plague', 'trappings', 'elective']
Choose the synonym of the following words:  obvious, unconcealed	very hard	not secret or hidden	overt	1	['sever', 'overt', 'beckon', 'coax']
Choose the synonym of the following words:  diminish, lessen	very hard	to decrease in power or size	wane	2	['barter', 'morale', 'wane', 'overlook']
Choose the synonym of the following word: unimportant, small, immaterial	very hard	unimportant and small	trivial	0	['trivial', 'sever', 'grueling', 'bleak']
Choose the synonym of the following words:  very careful, meticulous	very hard	giving careful attention to detail	fastidious	3	['paramount', 'haphazard', 'adverse', 'fastidious']
Choose the synonym of the following words:  stimulus, force	very hard	a cause or reason to start an action	impetus	0	['impetus', 'erratic', 'dismal', 'pretext']
Choose the synonym of the following words:  demanding	very hard	requiring and demanding accuracy	exacting	1	['trappings', 'exacting', 'dismal', 'apex']
Choose the synonym of the following words:  curlicue, decoration	very hard	to grow stronger or healthier	flourish	2	['savage', 'profuse', 'flourish', 'prolific']
Choose the synonym of the following words:  fad, strong interest	very hard	something very popular for a short time	craze	2	['dwelling', 'coax', 'craze', 'hamper']
Choose the synonym of the following words:  apparent, obvious	very hard	very noticeable	marked	3	['grueling', 'irrefutable', 'depress', 'marked']
Choose the synonym of the following words:  fragile	very hard	hard but easy to break	brittle	0	['brittle', 'depress', 'grueling', 'drench']
Choose the synonym of the following words:  make obscure, dim, vague	very hard	to make seem small or unimportant by comparison	overshadow	1	['forage', 'overshadow', 'drought', 'dubious']
Choose the synonym of the following word: pivot, revolve, rotate	very hard	to spin or turn around	swivel	2	['propulsion', 'banish', 'swivel', 'bombard']
Choose the synonym of the following words:  make greater, improve	very hard	to enlarge or increase, to improve	augment	0	['augment', 'despondent', 'disingenuous', 'wary']
Choose the synonym of the following word: scrape, shovel, uncover	very hard	to remove by digging in the ground	excavate	3	['apex', 'inept', 'overshadow', 'excavate']
Choose the synonym of the following words:  perplex	very hard	to completely confuse	baffle	2	['wane', 'foremost', 'baffle', 'knack']
Choose the synonym of the following words:  suitable	very hard	perfectly appropriate	apt	0	['apt', 'coax', 'morale', 'indignant']
Choose the synonym of the following words:  experienced	very hard	experienced at doing something	seasoned	2	['bombard', 'elusive', 'seasoned', 'gaudy']
Choose the synonym of the following words:  pause, calm	very hard	a short period of calm or inactivity	lull	0	['lull', 'spur', 'seep', 'strife']
Choose the synonym of the following word: abrogate, annul, cancel	very hard	to officially end a bad system	abolish	3	['wares', 'beckon', 'incessant', 'abolish']
Choose the synonym of the following word: alias, nickname, anonym	very hard	a false name used publicly	pseudonym	1	['strife', 'pseudonym', 'trivial', 'incessant']
Choose the synonym of the following words:  call, signal, or lure	very hard	to invite or attract to come to	beckon	3	['fuse', 'inexorable', 'fable', 'beckon']
Choose the synonym of the following words:  distinguished, famous	very hard	well known and respected	celebrated	2	['wither', 'minute', 'celebrated', 'dwelling']
Choose the synonym of the following words:  prevent, slow down	very hard	to slow the progress of or make more difficult	hinder	2	['aroma', 'pressing', 'hinder', 'fable']
Choose the synonym of the following words:  struggle, battle	very hard	hate and conflict	strife	3	['pretext', 'wither', 'fuse', 'strife']
Choose the synonym of the following words:  give up, do without	very hard	to decide not to use or have something good	forgo	3	['prose', 'torrent', 'qualify', 'forgo']
Choose the synonym of the following words:  mean, heartless	very hard	not caring about hurting people	ruthless	3	['verge', 'drought', 'inept', 'ruthless']
Choose the synonym of the following words:  clumsy, unskilled, incompetent	very hard	unable to do well, bad at	inept	2	['notwithstanding', 'overshadow', 'inept', 'indignant']
Choose the synonym of the following words:  stop, hinder	very hard	to stop somebody's plan	thwart	2	['elusive', 'erode', 'thwart', 'flourish']
Choose the synonym of the following word: reside, live, stay	very hard	to live somewhere	dwell	0	['dwell', 'seep', 'swivel', 'telling']
Choose the synonym of the following words:  bounce back, ricochet	very hard	increase or improve after a low point	rebound	0	['rebound', 'coax', 'peril', 'ruthless']
Choose the synonym of the following words:  small	very hard	extremely small	infinitesimal	1	['spur', 'infinitesimal', 'lure', 'celebrated']
Choose the synonym of the following words:  consume, exhaust supply	very hard	use all of (used especially for natural resources)	deplete	3	['mushroom', 'beckon', 'profuse', 'deplete']
Choose the synonym of the following word: cascade, deluge, downpour	very hard	an extremely heavy rain	torrent	1	['spawn', 'torrent', 'lucid', 'craze']
Choose the synonym of the following words:  insincere	very hard	dishonest or not giving the whole truth	disingenuous	0	['disingenuous', 'eerie', 'facet', 'arid']
Choose the synonym of the following words:  evasive, mysterious	very hard	difficult to find, catch , or achieve	elusive	2	['inept', 'banish', 'elusive', 'brittle']
Choose the synonym of the following words:  leak	very hard	to flow slowly through something with many small holes	seep	0	['seep', 'thaw', 'despondent', 'avert']
Choose the synonym of the following words:  complete, healthy	very hard	logical and understandable, without errors	sound	3	['augment', 'lurk', 'trickle', 'sound']
Choose the synonym of the following word: comb, rummage, scour	very hard	to move around in search for food	forage	2	['indigenous', 'incessant', 'forage', 'seep']
Choose the synonym of the following words:  barren	very hard	cold-feeling and dark , hopeless	bleak	1	['erode', 'bleak', 'uphold', 'lure']
Choose the synonym of the following words:  fruitful, productive	very hard	producing many things	prolific	1	['overlook', 'prolific', 'beckon', 'despondent']
Choose the synonym of the following words:  fantasy, story	very hard	a traditional story that teaches a lesson	fable	1	['telling', 'fable', 'so-called', 'apt']
Choose the synonym of the following word: arrival, coming, onset	very hard	the time when a big change started or arrived	advent	3	['indignant', 'so-called', 'aroma', 'advent']
Choose the synonym of the following words:  strange, odd	very hard	attractive and old-fashioned (used especially for places or customs)	quaint	2	['paramount', 'apex', 'quaint', 'exacting']
Choose the synonym of the following words:  home	very hard	housing that someone is living in	dwelling	3	['bleak', 'fastidious', 'lull', 'dwelling']
Choose the synonym of the following words:  important, urgent	very hard	important immediately	pressing	0	['pressing', 'erode', 'marked', 'wary']
Choose the synonym of the following words:  careful, cautious	very hard	cautious, not trusting	wary	1	['seasoned', 'wary', 'raze', 'lull']
Choose the synonym of the following words:  manage, contend	very hard	to manage a difficult situation (especially emotionally)	cope	2	['pseudonym', 'cohesive', 'cope', 'ruthless']
Choose the synonym of the following word: brilliant, flashy, loud	very hard	too colorful and overly decorated	gaudy	1	['craze', 'gaudy', 'overt', 'forge']
Choose the synonym of the following words:  decorate	very hard	to add decoration and detail to make more beautiful	adorn	1	['verge', 'adorn', 'cohesive', 'cull']
Choose the synonym of the following words:  extremity, limit	very hard	the time when an event will happen very soon	verge	2	['jeopardy', 'forthcoming', 'verge', 'bombard']
Choose the synonym of the following word: appose, connect, pair	very hard	to show contrast by placing two things next to each other	juxtapose	3	['cohesive', 'irrefutable', 'erode', 'juxtapose']
Choose the synonym of the following word: tiny, insignificant, microscopic	very hard	extremely small	minute	1	['trappings', 'minute', 'murky', 'incessant']
Choose the synonym of the following words:  angry	very hard	angered at something unjust or wrong	indignant	0	['indignant', 'convene', 'paramount', 'fastidious']
Choose the synonym of the following words:  not strong, ineffective	very hard	very weak	feeble	2	['brittle', 'ruthless', 'feeble', 'lucid']
Choose the synonym of the following words:  effective, significant	very hard	showing the truth (used for a story or piece of information)	telling	1	['murky', 'telling', 'levy', 'morale']
Choose the synonym of the following words:  out-of-the-way, in the distance	very hard	far away	remote	2	['elective', 'pretext', 'remote', 'forage']
Choose the synonym of the following word: detach, disconnect, separate	very hard	to cut off from a whole	sever	2	['prolific', 'trivial', 'sever', 'cull']
Choose the synonym of the following word: dismiss, dispel, drive away	very hard	to send (a person) away permanently in punishment	banish	1	['murky', 'banish', 'adept', 'pressing']
Choose the synonym of the following words:  thwart, avoid by turning away	very hard	to turn away from or prevent	avert	3	['so-called', 'pretext', 'feeble', 'avert']
Choose the synonym of the following words:  droop, decline	very hard	dry out and die (used for plants)	wither	1	['baffle', 'wither', 'sound', 'inept']
Choose the synonym of the following words:  dryness, shortage of supply	very hard	a long time with not enough rain	drought	3	['apt', 'qualify', 'quaint', 'drought']
Choose the synonym of the following words:  meld, intermix	very hard	combine into one	fuse	0	['fuse', 'crave', 'exacerbate', 'adorn']
Choose the synonym of the following words:  assessment, tax	very hard	to use government authority to demand payment	levy	3	['offset', 'profuse', 'pressing', 'levy']
Choose the synonym of the following word: articles, commodities, goods	very hard	objects for sale	wares	3	['grueling', 'apex', 'adverse', 'wares']
Choose the synonym of the following words:  gloomy, obscure	very hard	dark or cloudy and hard to see through	murky	2	['ruthless', 'raze', 'murky', 'rife']
Choose the synonym of the following words:  bait	very hard	to persuade somebody or an animal come somewhere by promising a reward	lure	1	['jeopardy', 'lure', 'vessel', 'sever']
Choose the synonym of the following words:  principal, superior	very hard	of the highest importance	paramount	2	['rebound', 'spawn', 'paramount', 'propulsion']
Choose the synonym of the following words:  danger, trouble	very hard	a state of danger	jeopardy	1	['incessant', 'jeopardy', 'involved', 'remote']
Choose the synonym of the following words:  dry	very hard	dry, without rain	arid	0	['arid', 'overshadow', 'exacting', 'celebrated']
Choose the synonym of the following words:  unfavorable, antagonistic	very hard	making success more difficult	adverse	2	['impetus', 'adept', 'adverse', 'seep']
Choose the synonym of the following words:  persuade	very hard	to gently persuade or influence to do something	coax	0	['coax', 'paramount', 'rebound', 'irrefutable']
Choose the synonym of the following word: bear, endure, experience	very hard	experience a difficult change or process	undergo	0	['undergo', 'cull', 'barter', 'exacting']
Choose the synonym of the following words:  unpredictable, wandering	very hard	often changing suddenly and unpredictably	erratic	2	['fuse', 'hurl', 'erratic', 'uphold']
Choose the synonym of the following words:  thoughtful, careful	very hard	careful not to do things that hurt or anger other people	tactful	1	['seasoned', 'tactful', 'elusive', 'banish']
Choose the synonym of the following words:  save, rescue	very hard	to save something from the destruction of everything around it	salvage	1	['lull', 'salvage', 'accrete', 'plague']
Choose the synonym of the following word: baroque, beautiful, elegant	very hard	heavily decorated in small detail	ornate	2	['adept', 'catalyst', 'ornate', 'undergo']
Choose the synonym of the following word: aimless, arbitrary, careless	very hard	not done well and done quickly without planning	haphazard	3	['avert', 'forgo', 'banish', 'haphazard']
Choose the synonym of the following words:  harmless	very hard	not harmful	innocuous	3	['forge', 'mushroom', 'eerie', 'innocuous']
Choose the synonym of the following words:  lift	very hard	lift up	hoist	3	['banish', 'brittle', 'tactful', 'hoist']
Choose the synonym of the following words:  written, nonrhythmic literature	very hard	writing made of normal sentences, not a poem	prose	1	['brittle', 'prose', 'indigenous', 'dubious']
Choose the synonym of the following word: accomplished, adroit, capable	very hard	skilled in a specific ability	adept	1	['sever', 'adept', 'arid', 'hamper']
Choose the synonym of the following words:  force	very hard	a force pushing forward	propulsion	0	['propulsion', 'exacerbate', 'infinitesimal', 'erratic']
Choose the synonym of the following words:  reckless, daring	very hard	willing to be bold in social situations to take risks	audacious	1	['mushroom', 'audacious', 'lucid', 'sever']
Choose the synonym of the following words:  wild, untamed	very hard	violent and uncontrolled	savage	1	['murky', 'savage', 'wane', 'involved']
Choose the synonym of the following words:  ship	very hard	a container	vessel	3	['cull', 'exacerbate', 'banish', 'vessel']
Choose the synonym of the following word: united, adhesive, connected	very hard	well combined into one whole	cohesive	3	['hinder', 'wane', 'gaudy', 'cohesive']
Choose the synonym of the following words:  deject, make despondent, exhaust	very hard	to press down, to cause to drop	depress	0	['depress', 'seep', 'aroma', 'pretext']
Choose the synonym of the following words:  spooky	very hard	mysterious and scary	eerie	0	['eerie', 'cohesive', 'endow', 'despondent']
Choose the synonym of the following word: extract, glean, pluck	very hard	to remove something unwanted from a group	cull	1	['overshadow', 'cull', 'urbane', 'adorn']
Choose the synonym of the following word: fire, fling, heave	very hard	to throw forcefully	hurl	2	['plague', 'paramount', 'hurl', 'elusive']
Choose the synonym of the following words:  disguise, alleged reason	very hard	an untruthful reason given for an action	pretext	0	['pretext', 'indignant', 'lure', 'advent']
Choose the synonym of the following word: impetus, incentive, motivation	very hard	something that starts or speeds up an event	catalyst	2	['avert', 'savage', 'catalyst', 'seep']
Choose the synonym of the following words:  maintain, support	very hard	to keep a tradition	uphold	1	['rebound', 'uphold', 'notwithstanding', 'offset']
Choose the synonym of the following words:  displace, replace	very hard	replace someone or something that doesn't fill a role anymore	supplant	2	['endow', 'bombard', 'supplant', 'lucid']
Choose the synonym of the following words:  doubtful	very hard	suspicious and possible wrong	dubious	1	['deplete', 'dubious', 'spur', 'dwelling']
Choose the synonym of the following words:  ability, talent	very hard	a natural ability for a specific skill	knack	1	['nuance', 'knack', 'telling', 'beckon']
Choose the synonym of the following words:  first in rank, order	very hard	highest in rank or importance	foremost	0	['foremost', 'swivel', 'craze', 'drought']
Choose the synonym of the following word: bestow, donate, empower	very hard	to give abilities to	endow	1	['incessant', 'endow', 'supplant', 'fable']
Choose the synonym of the following words:  disregard, neglect	very hard	to fail to notice	overlook	0	['overlook', 'exacerbate', 'augment', 'accrete']
Choose the synonym of the following words:  danger, risk	very hard	serious danger	peril	2	['dwelling', 'lull', 'peril', 'aroma']
Choose the synonym of the following words:  prep.although, however	very hard	in spite of	notwithstanding	1	['catalyst', 'notwithstanding', 'celebrated', 'inept']
Choose the synonym of the following words:  infuriate, make worse	very hard	to make worse	exacerbate	0	['exacerbate', 'forgo', 'advent', 'ruthless']
Choose the synonym of the following words:  incitement, stimulus	very hard	to encourage or stimulate	spur	2	['sever', 'coax', 'spur', 'lure']
Choose the synonym of the following words:  hide, move stealthily	very hard	to hide when preparing to attack	lurk	0	['lurk', 'overt', 'baffle', 'seep']
Choose the synonym of the following words:  brief, transient	very hard	lasting for a very short time	fleeting	1	['quaint', 'fleeting', 'paramount', 'irrefutable']
Choose the synonym of the following words:  paraphernalia, equipment	very hard	the visual objects and signs associated with a position or status	trappings	0	['trappings', 'indignant', 'prolific', 'marked']
Choose the synonym of the following words:  sprout, grow quickly	very hard	to grow or spread extremely quickly	mushroom	1	['swivel', 'mushroom', 'celebrated', 'haphazard']
Choose the synonym of the following words:  expected, imminent	very hard	ready or helpful when needed (used with 'not' to describe problems)	forthcoming	3	['wares', 'minute', 'fuse', 'forthcoming']
Choose the synonym of the following words:  assault, attack	very hard	to attack without pausing	bombard	1	['inept', 'bombard', 'uphold', 'plague']
Choose the synonym of the following words:  make or become ready, prepared	very hard	to clarify by making less general	qualify	3	['seep', 'remote', 'audacious', 'qualify']
Choose the synonym of the following word: desire, seek, covet	very hard	to want something badly and immediately	crave	2	['nuance', 'lurk', 'crave', 'banish']
Choose the synonym of the following words:  surface, aspect	very hard	one side or aspect (used for abstract things)	facet	1	['undergo', 'facet', 'celebrated', 'elusive']
Choose the synonym of the following word: bouquet, odor, perfume	very hard	an enjoyable smell	aroma	0	['aroma', 'audacious', 'vessel', 'wary']
Choose the synonym of the following words:  bleak, dreary, gloomy	very hard	depressing, hopeless, very bad	dismal	3	['erratic', 'inept', 'hamper', 'dismal']
Choose the synonym of the following words:  complicated	very hard	very complicated, with may parts (used for abstract things)	involved	0	['involved', 'remote', 'fuse', 'swivel']
Choose the synonym of the following words:  cruel, pitiless	very hard	impossible to stop	inexorable	3	['pseudonym', 'barter', 'quaint', 'inexorable']
Choose the synonym of the following words:  waste away, taper off	very hard	to become much less or many fewer	dwindle	0	['dwindle', 'endow', 'inept', 'wither']
Choose the synonym of the following words:  evident, obvious	very hard	easy to understand, from clear thinking	lucid	2	['swivel', 'gaudy', 'lucid', 'bombard']
Choose the synonym of the following words:  cloudy	very hard	unclear	hazy	2	['adhere', 'forgo', 'hazy', 'adverse']
Choose the synonym of the following words:  confidence, self-esteem	very hard	confidence and enthusiasm within a group of people	morale	3	['murky', 'sound', 'wane', 'morale']
Choose the synonym of the following word: drip, spill, leak	very hard	to flow very slowly	trickle	1	['forage', 'trickle', 'haphazard', 'salvage']
Choose the synonym of the following words:  lead, start	very hard	to lead a change	spearhead	1	['cope', 'spearhead', 'grueling', 'exacerbate']
Choose the synonym of the following words:  difficult, taxing	very hard	extremely difficult and tiring	grueling	1	['murky', 'grueling', 'hinder', 'mushroom']
Choose the synonym of the following word: haggle, bargain, exchange	very hard	to trade in a system that doesn't use money	barter	3	['inexorable', 'trappings', 'trickle', 'barter']
Choose the synonym of the following words:  unfreeze, warm	very hard	to melt slowly after a temperature change	thaw	2	['drought', 'jeopardy', 'thaw', 'forage']
Choose the synonym of the following words:  never-ending, persistent	very hard	happening often without stopping (used for bad things)	incessant	3	['sever', 'adhere', 'torrent', 'incessant']
Choose the synonym of the following word: comply, heed, obey	very hard	to stick to and not come off	adhere	3	['lull', 'morale', 'indignant', 'adhere']
Choose the synonym of the following words:  top, high point	very hard	the highest point	apex	3	['bombard', 'offset', 'pressing', 'apex']
Choose the synonym of the following words:  produce	very hard	to produce eggs (used for fish, frogs etc.)	spawn	3	['trivial', 'dismal', 'wane', 'spawn']
Choose the synonym of the following words:  flatten, knock down, wipe out	very hard	to completely destroy (used for buildings)	raze	2	['barter', 'apex', 'raze', 'gaudy']
Choose the synonym of the following words:  take back, renege on	very hard	to pull back	retract	2	['dwelling', 'morale', 'retract', 'adhere']
